acupoint,internationalnumber,nickname,meridian,place,symptom,matchpoint,picture,massage,massage_no,moxibustion,moxibustion_no,cupping,cupping_no,puncture,puncture_no,scratch,scratch_no,five_element_point,yuan_primary_point,meridian_name,luo_connecting_point,intersection_point,fiveshu_point
上關穴," GB3","客主人 ",13,"上關穴位 (引自《經絡與穴道》)耳前方，顴弓上緣正中，下關直上凹陷處。約當目外眥與耳屏尖連線的中點。《針灸甲乙經》：「在耳前上廉起骨端，開口有孔」。",祛風鎮驚，聰耳利齒。古典：耳鳴，耳聾，目眩，青盲，瞤目，上齒齲痛，口噤不開，偏風，口眼歪斜，偏頭痛，瘛瘲，驚癇，寒熱痙引骨痛。現代：顳頜關節功能紊亂症。,唇吻強：上關、兌端。偏風口目歪：上關、下關。迷目：上關、偏歷。口噤牙車不開：上關、頰車。,https://4.bp.blogspot.com/-jiTYhRSyEog/WPnTPriKXKI/AAAAAAAAR7I/FLnkeSd-tIUk5wQJl3P2qdltRxeYxz3-wCK4B/s320/shangguan.jpg,"按摩:用大拇指掐揉200次,每天持續,能治療耳鳴、下頜關節炎,預防視力減退"," "," "," "," "," "," "," "," "," ",NULL,NULL,足少陽膽經,NULL,3,NULL
上髎穴," BL31"," ",11,骶部後正中線與髂後上棘間凹陷處，適對第一骶後孔，外與小腸俞相平。《針灸甲乙經》：「在第一空，腰髁下一寸俠脊陷者中。」《素問•刺腰痛論》王冰註：「當踝骨下陷中，余三髎（次、中、下髎）少斜下，按之陷中是也」；《類經圖翼》：「腰髁骨即十六椎下腰脊兩旁起骨之夾脊者」；《針灸集成》：「在陽關下五分，去中行一寸，外直小腸俞。」,理下焦、健腰腿。古典：腰痛、大小便不利、遺尿、腰腿冷痛、陰挺、赤白帶下、陰中痒痛、月經不調。現代：腰腿痛、坐骨神經痛、催產、引產、盆腔炎、睪丸炎、下肢癱瘓。,腰腳不隨，不能跪起：上髎、環跳、陽陵泉、下巨虛。熱病汗不出：上髎、孔最。催產：上髎、合谷、三陰交。  ,https://2.bp.blogspot.com/-wXvdzDjrWxA/WPeBsVE_-RI/AAAAAAAARlE/dqxK93qdYu4xYWIacRuKxoq7UEoYr5VXQCK4B/s400/shangliao.jpg," "," "," "," "," "," "," "," "," "," ",NULL,NULL,足太陽膀胱經,NULL,NULL,NULL
下巨虛穴," ST39","巨虛下廉, 足之下廉 ",14,小腿前外側，外膝眼（犢鼻）下9寸，脛骨前緣外一橫指（中指）處，當上巨虛直下3寸。《靈樞•本輸》：「復下上廉三寸。」,調腸，清熱，通乳。古典：胃熱、腹痛，泄瀉痢疾，下肢痹症，足痿，乳癰，癲癇，小腹痛，腰背控睪而痛，寒熱身痛，暴驚狂言，氣逆，轉筋，脛重，足跗不收，跟痛。現代：急慢性腸炎，風濕性關節炎，腳氣症。,泄痢膿血：下廉、幽門、太白。胸脅滿引腹：下廉、丘墟、俠溪、腎俞。  ,https://1.bp.blogspot.com/-LqrX0Mqy0EE/WQSFGXilGCI/AAAAAAAATQ0/ubg_keFGUxY-6tZN3kD17JX4bUgBLcm3ACK4B/s400/xiajuxu1.jpg,"按摩:用大拇指按揉200次,用於治療小腹痛。"," ","艾灸:用艾條溫和灸5〜20分鐘,可用於治療腹瀉、睪丸痛。"," "," "," "," "," "," "," ",NULL,NULL,足陽明胃經,NULL,NULL,NULL
下廉穴," LI8","手下廉, 手之下廉 ",7,前臂背面橈側，肘橫紋下4寸處。當陽溪與曲池連線的後1/3折點。《針灸甲乙經》：「在輔骨下，去上廉一寸…」；《循經考穴編》：「銳肉外斜縫中。廣註：曲池前來四寸，屈肘取之；若直取，合五寸；」,疏泄陽明經熱。古典：頭風頭痛，眩暈，目痛，肘臂痛，繞臍痛，食不化，狂言，痃癖，腹痛，氣喘，唇乾，涎出，偏風，冷痹不遂，小腹滿。現代：乳腺炎。,頭風：神庭、五處、下廉。胸脅滿引腹：腎俞、下廉、丘墟、俠溪。  ,https://4.bp.blogspot.com/-OpgILWXhZag/WPOsBt28LqI/AAAAAAAAQ0k/33zC7glCwL0qZQ8b_RDFrWDcKDUeGavJACK4B/s400/xialian.jpg,"按摩:用大拇指按揉200次,每天持續,能防治腹痛腹脹、前臂痛等疾病。"," "," "," "," "," "," "," "," "," ",NULL,NULL,手陽明大腸經,NULL,2,NULL
下極俞穴," EX-B5","十五椎, 下極之俞 ",,在腰部，當後正中線上，第三腰椎棘突下。,腰痛，腹痛，腹瀉，小便不利，遺尿，腸疝痛，下肢疼痛。,腰痛：下極俞、腰眼、腎俞、委中。  ,https://3.bp.blogspot.com/-tYe1cnRpIGw/WQBK0TFrscI/AAAAAAAAS2s/PNGR-W56hPsPnw5syH2LHM5oECqad3d4ACK4B/s1600/xijishu.jpg," "," "," "," "," "," "," "," "," "," ",NULL,NULL,NULL,NULL,NULL,NULL
下脘穴," RN10","下管 ",1,上腹部正中線臍中上2寸處，當中脘與臍中連線的中點。《針灸甲乙經》：「在建里下一寸」；《動功按摩秘訣》：「臍上二寸。」,古典：飲食不下，膈塞不通，食飲不化，嘔吐呃逆，腹堅硬，腹痛，胃脹，便秘，虛腫，小便赤。現代：消化不良，消化性潰瘍，胃下垂，胃扭轉，急性腸梗阻，痢疾。,食飲不化，入腹還出：下脘、足三里。腸鳴：下脘、陷谷。  ,https://1.bp.blogspot.com/-4iHWrie24i4/WP4bsYlTbqI/AAAAAAAASkI/9McQRwLWSLEqAaNmsqReXGNq7IqGZY9GQCK4B/s400/xiawan.jpg,"按摩:用大拇指按揉200次,每天持續,能治療腹脹、腹痛、消化不良。"," "," "," "," "," "," "," "," "," ",NULL,NULL,任脈,NULL,NULL,NULL
下關穴," ST7"," ",14,面部耳前方，顴弓與下頜切跡所形成的凹陷中。張口肘下頜骨髁狀突前移，凹陷即消失。《針灸甲乙經》：「在客主人下，耳前動脈下空下廉，合口有孔，張口即閉。」,祛風、聰耳、利牙關。古典：耳鳴耳痛，牙痛，牙關脫臼、眩暈、口眼歪斜，耳中有膿，耳聾鳴，頸腫，久風卒風，齒齦痛，惡風寒不可嚼，痙。現代：三叉神經痛，面神經麻痹，中耳炎，顳頜關節炎。,耳鳴耳聾：下關、陽溪、關衝、陽谷。牙齒齲痛：下關、大迎、翳風、完骨。牙關緊閉：下關、頰車、合谷、外關。顳頜關節炎：下關、聽宮、翳風、合谷。耳鳴、耳聾、耳中痛：下關、耳門、聽宮、翳風、外關。,https://4.bp.blogspot.com/-9FzT4ZYm4Kg/WPRXZ_6G0KI/AAAAAAAAQ4w/x_yel7Xf1tcc2ZGvnnShZ761dtfLiNOLQCK4B/s320/xiaguan.jpg,"按摩:用大拇指或中指按揉200次,能治療牙關緊閉、牙痛、下頜關節功能紊亂、耳鳴。","注意事項：力道適中,以有酸脹感為宣","艾灸:用艾條溫和灸10~20分鐘,能治療耳鳴、牙痛、三叉神經痛、臉部麻木等。","注意事項：艾灸時注意安全,避免灼燒頭髮。"," "," "," "," "," "," ",NULL,NULL,足陽明胃經,NULL,2,NULL
下髎穴," BL34","下窌 ",11,骶部，中髎內下方5分許，適對第四骶後孔凹陷處；外與白環俞相平，當骶管裂孔上方旁開5分許。《針灸甲乙經》：「在第四空、俠脊陷者中」；《針灸集成》：「在中髎下一寸二分」。,理下焦、健腰腿。古典：腰痛、少腹痛、腸鳴、泄瀉、便血、陰中痒痛、婦女淋濁不、赤白帶下。現代：痛經、盆腔炎、高血壓、前列腺炎。,蒼汁陰痛：中髎、下髎、太衝、獨陰。  ,https://4.bp.blogspot.com/-7fsYWzAj588/WPd685VHDtI/AAAAAAAARjw/s6xwCprTkcQs3yCrecnwLwZZi_Qu_uS3ACK4B/s320/xialiao.jpg," "," "," "," "," "," "," "," "," "," ",NULL,NULL,足太陽膀胱經,NULL,NULL,NULL
不容穴," ST19"," ",14,上腹部，臍中上6寸（巨闕）旁開2寸，當肋弓下緣凹陷處。《針灸甲乙經》：「在幽門傍各一寸五分」；《千金要方》補充：「去任脈二寸，直四肋」；《類經圖翼》：「對巨闕」。,和胃、止嘔。古典：腹滿脘痛，嘔吐，吐血，喘咳，胸背痛，不嗜食，肩息，脅下痛，口乾，雀目，脈不出，腹虛鳴。現代：胃擴張，肋間神經痛。,心切痛、喜噫酸：不容、期門。  ,https://4.bp.blogspot.com/-_kZ-viCXP_c/WPS2v9u2qNI/AAAAAAAARAA/TX6DiTOFXGM1-S7CV0hWbK8TfGcnD0IowCK4B/s320/burong.jpg,"按摩:用大姆指或掌根按揉200次,可用於治療嘔吐、腹脹。"," "," "," "," "," "," "," "," "," ",NULL,NULL,足陽明胃經,NULL,NULL,NULL
丘墟穴," GB40"," ",13,"丘墟穴位橫斷面 (引自《嚴振國穴位解剖》)丘墟穴位 (引自《經絡與穴道》)足背，外踝前下方，伸趾長肌腱外側，距跟關節間凹陷處。《循經考穴編》：「踝骨尖下微前三分骨縫中，穴對商丘。」《靈樞•本輸》：「外踝之前下，陷者中也。」《針灸甲乙經》：「去臨泣一寸」，《備急千金要方》糾正作「三寸」。",舒筋、利胸脅、明目、清熱。古典：胸滿、善太息、胸中膨膨然，目痛、目視不明、目翳、腰兩脇痛、腳酸轉筋、足腕不收、躄、髀樞腳痛、腳跗疼、痿軟、草鞋風。現代：胸脅痛、膽絞痛、膽囊炎、膽結石、腋窩淋巴結炎、足內翻、踝關節扭傷、高血壓。,目中翳膜：瞳子髎、丘墟。脅痛：中瀆、丘墟。腳跗痛：丘墟、解溪、商丘、行間。踝跟骨痛：丘墟、崑崙。,https://2.bp.blogspot.com/-3j9zI0YUO80/WPnoTMxSTBI/AAAAAAAAR8M/hydj-fVvZ9AYmlSiwwLnpkDDvcA_TxxtgCK4B/s1600/qiuxu.jpg,"按摩:用大拇指按揉200次,能治療外踝痛"," ","艾灸:用艾條温和灸5〜20分鐘,可以用於治療外踝痛、脅肋痛。"," "," "," "," "," "," "," ",NULL,1,足少陽膽經,NULL,NULL,NULL
中封穴,LR4,懸泉,9,足背，內踝前，商丘與解溪連線之間，脛骨前肌腱內側凹陷處。《靈樞‧本輸》：「內踝之前一寸半陷者之中，使逆則宛，使和則通，搖足而得之。」《針灸甲乙經》：「在足內踝前一寸，仰足取之陷者中，伸足乃得之」；《外台秘要》：「在兩足趺上曲尺宛宛中」；《針方六集》：「筋裏陷中」；《循經考穴編》：「內踝骨尖平，過前來寸半（但于踝前來則一寸也），彎內兩筋間，伸足乃得，屈而針之。」《針灸集成》：「在內踝前一寸微下些」；即足背上屈時，當脛骨前肌腱與拇長伸肌腱之間凹陷處。,疏肝理氣，清泄下焦。古典：肝病、脅痛、身黃有微熱，不嗜食，繞臍痛、疝痛、鼓脹、虛勞，遺精、遺尿、小便不利、陰暴痛、陰縮入腹引痛、腰痛、足厥冷、內踝腫痛、行步艱難，嗌乾、喉腫。現代：肝炎、黃疸、足痛。,繞臍痛：水分、神闕、中封。鼓脹：四滿、中封。急性病毒性肝炎：翳明、肝俞、中封。行步艱難：足三里、中封。,https://i1.kknews.cc/SIG=3ulsnk0/1p680005o1p7pro9p7qs.jpg,"按摩:用大拇指指尖用力掐揉200次,用於治療脅肋痛。","注意事項：用力較大,旋轉按摩 。","艾灸:用艾條溫和灸5〜20分鐘,每天1次,可用治療疝氣、陰莖痛等。","注意事項：以局部有溫熱感 、無灼痛為宜。"," "," "," "," "," "," ",金穴,NULL,足厥陰肝經,NULL,NULL,經穴
中平穴,,,,位於腿部，中平穴，在⾜三⾥下⼀⼨，最好是找到壓痛點。,老年肩周炎，落枕、急性腰扭傷、冠⼼病、⼼絞痛、急腹等,,http://www.xueweimima.com/d/file/mm/2014-06-12/4d3d368656bfeb8abaa87b6d12c35370.jpg,⽤中指指腹按揉中平穴並做環狀運動，每次2分鐘。,,,,,,,,,,NULL,NULL,NULL,NULL,NULL,NULL
中府穴," LU1 ","府中俞, 膺中俞, 膺俞 ",3,"中府穴位橫斷面 (引自《嚴振國穴位解剖》)中府穴位 (引自《經絡與穴道》)胸前壁外上方，前正中線（華蓋）旁開6寸，與第1肋間隙相平的凹陷處。當肩胛骨喙突內下方，第2肋外緣，上距雲門1寸。《針灸甲乙經》：「在雲門下一寸，乳上三肋間陷者中」；《千金要方》：「一云一寸六分」；《素問•刺熱篇》王冰注：「在胸中行兩旁，相去同身寸之六寸」；《針方六集》：「俠任脈華蓋穴兩傍各六寸」；《針灸集成》：「在周榮上二寸，少外開三分」。",清宣肺氣，瀉胸中熱邪。古典：咳嗽、哮喘、氣逆、咳唾濁涕，咳嘔膿血、肺脹、肺癰、肺癆、胸痛、胸痹、胸滿、胸中熱、食噎不下、嘔逆吐酸、腹脹、寒熱煩滿、汗出、婦人吹乳、面腫、鼻塞、喉痹、癭瘤、肩背痛、皮膚骨痛。現代：支氣管炎、肺炎、肺結核、心絞痛、心肌梗死。,肺痛：中府、腎俞、合谷。胸滿噎塞：中府、意舍。兩乳腫痛：膻中、中府、少澤、大敦。喉痹、胸滿塞、寒熱：中府、陽交。邪在肺，則病皮膚痛、寒熱、上氣、喘、汗出、咳動肩背：中府、肺俞。咳嗽：中府、肺俞、孔最。哮喘：膻中、中府、定喘、內關。肺炎：中府、大椎。肺結核：中府、肺俞。,https://2.bp.blogspot.com/-bh0CrBIaYPk/WQSWx29cOhI/AAAAAAAATRo/MbRrrURHhfApMrM9RnxeRyKqxajbaPpCgCK4B/s640/zhongfu1.jpg,"按摩:用大拇指按揉200次,每天持續,能夠防治上述疾病","注意事項：力道適中,以有酸脹感為宜。","艾灸:體虚中氣不足的患者,用艾條溫和灸5~20分鐘,長期持續。",注意事項：艾灸時注意不要隔著衣服。,"拔罐:肺熱引起的鼻炎患者,用火罐留罐5〜10分鐘,隔天1次。","注意事項：拔罐時,注意不要隔著衣服。"," "," ","刮痧:體質偏熱的患者,從上向下刮拭3~5分鐘,隔天1次,能瀉熱。","注意事項：刮痧時,注意不要隔著衣服。",NULL,NULL,手太陰肺經,NULL,NULL,NULL
中庭穴," RN16","龍頷 ",1,胸部正中線胸骨體與劍突結合部，約平等5肋間隙處，當鳩尾上1寸。《針灸甲乙經》：「在膻中下一寸六分陷者中」；《太平聖惠方》作「下一寸」；《醫學入門》：「鳩尾上一寸。」,寬胸，降逆。古典：胸脅支滿，飲食不下，嘔吐，咽喉噎塞。現代：咽炎，食管炎，肋軟骨炎。,嘔吐：中庭、俞府、意舍。膈寒食不下，嘔吐還出：中庭、中府。  ,https://1.bp.blogspot.com/-7uqxzWAhHvw/WP4mtJc0qZI/AAAAAAAASlo/DVaBLFKgHgAWWY2PSgS08eSj3XK503AKQCK4B/s320/zhongting1.jpg,"按摩:用中指指腹揉按,每次1〜3分鐘,可以提高消化能力,增強食欲。","注意事項：力道適中,以有酸脹感為宜。","艾灸:用艾條溫和灸5〜20分鐘,每天1次,可用於治療心痛、嘔吐等疾病。",注意事項：以局部有溫熱感、無灼痛為宜。," "," "," "," "," "," ",NULL,NULL,任脈,NULL,NULL,NULL
中極穴," RN3","玉泉, 氣原 ",1,"關元、中極、曲骨、長強穴位橫斷面 (引自《嚴振國穴位解剖》)中極穴位 (引自《經絡與穴道》)下腹部正中線臍中下4寸處，當曲骨上1寸。《針灸甲乙經》：「在臍下四寸。」",理氣，固精，利小便，調經。古典：虛損，腹脹，水腫，腰痛，小便不利，婦人胞落頹（子宮脫垂），丈夫失精，婦人下元冷，月事不調，經閉不通，赤白帶下，陰痒及痛，產後惡露不行，胎衣不下，無子。現代：腎炎，尿路感染，尿瀦留，盆腔炎，產後宮縮痛，痛經，促排卵，男子性功能障礙。,尸厥：關元、中極。小便不利、失精：中極、蠡溝、漏谷、承扶、至陰。胎衣不下：肩井、中極。月水斷絕：腎俞、中極、合谷、三陰交。遺精、陽萎、早泄：中極、橫骨、陰陵泉。遺尿：中極、三陰交。痛經：中極、地機。婦人赤白帶下：中脘、氣海、中極。  ,https://3.bp.blogspot.com/-9f2yMAfA0d0/WP3XTSa6LQI/AAAAAAAASeA/sWkMo9HnpO027Yjop9YKfmn28iXzXBPdgCK4B/s320/zhongji.jpg,"按摩:用大拇指按揉200次,每天持續,能治療月經不調、陽痿"," ","艾灸:用艾條溫和灸5〜20分鐘,每天1次,可用於治療陽痿、疝氣、月經不調、癃閉等疾病。"," "," "," "," "," "," "," ",NULL,NULL,任脈,NULL,NULL,NULL
