acupoint,symptom,meridian
三權三穴,冠心症,NULL
三權三穴,抽筋,NULL
三權三穴,胸痛胸悶,NULL
三權二穴,冠心症,NULL
三權二穴,抽筋,NULL
三權二穴,胸痛胸悶,NULL
三毛一穴,十二指腸潰瘍,NULL
三毛一穴,扁桃腺炎,NULL
三毛一穴,支氣管炎,NULL
三毛一穴,氣喘,NULL
三毛一穴,肺病,NULL
三毛一穴,肺癌,NULL
三毛一穴,肺結核,NULL
三毛一穴,胃潰瘍,NULL
三毛一穴,胃腺癌,NULL
三毛一穴,鼻癌,NULL
三毛三穴,十二指腸潰瘍,NULL
三毛三穴,扁桃腺炎,NULL
三毛三穴,支氣管炎,NULL
三毛三穴,氣喘,NULL
三毛三穴,肺病,NULL
三毛三穴,肺癌,NULL
三毛三穴,肺結核,NULL
三毛三穴,胃潰瘍,NULL
三毛三穴,胃腺癌,NULL
三毛三穴,鼻癌,NULL
三毛二穴,十二指腸潰瘍,NULL
三毛二穴,扁桃腺炎,NULL
三毛二穴,支氣管炎,NULL
三毛二穴,氣喘,NULL
三毛二穴,肺病,NULL
三毛二穴,肺癌,NULL
三毛二穴,肺結核,NULL
三毛二穴,胃潰瘍,NULL
三毛二穴,胃腺癌,NULL
三毛二穴,鼻癌,NULL
三水穴之水交穴,腎臟炎,NULL
三水穴之水交穴,腎虧腰痛,NULL
三水穴之水交穴,膀胱炎,NULL
三水穴之水交穴,蛋白尿,NULL
三水穴之水局穴,腎臟炎,NULL
三水穴之水局穴,腎虧腰痛,NULL
三水穴之水局穴,膀胱炎,NULL
三水穴之水局穴,蛋白尿,NULL
三水穴之水市穴,腎臟炎,NULL
三水穴之水市穴,腎虧腰痛,NULL
三水穴之水市穴,膀胱炎,NULL
三水穴之水市穴,蛋白尿,NULL
三水穴之水景穴,腎臟炎,NULL
三水穴之水景穴,腎虧腰痛,NULL
三水穴之水景穴,膀胱炎,NULL
三水穴之水景穴,蛋白尿,NULL
三水穴之水林穴,腎臟炎,NULL
三水穴之水林穴,腎虧腰痛,NULL
三水穴之水林穴,膀胱炎,NULL
三水穴之水林穴,蛋白尿,NULL
三水穴之水查穴,腎臟炎,NULL
三水穴之水查穴,腎虧腰痛,NULL
三水穴之水查穴,膀胱炎,NULL
三水穴之水查穴,蛋白尿,NULL
三水穴之水江穴,腎臟炎,NULL
三水穴之水江穴,腎虧腰痛,NULL
三水穴之水江穴,膀胱炎,NULL
三水穴之水江穴,蛋白尿,NULL
三水穴之水清穴,腎臟炎,NULL
三水穴之水清穴,腎虧腰痛,NULL
三水穴之水清穴,膀胱炎,NULL
三水穴之水清穴,蛋白尿,NULL
三水穴之水滿穴,腎臟炎,NULL
三水穴之水滿穴,腎虧腰痛,NULL
三水穴之水滿穴,膀胱炎,NULL
三水穴之水滿穴,蛋白尿,NULL
三水穴之水珊穴,腎臟炎,NULL
三水穴之水珊穴,腎虧腰痛,NULL
三水穴之水珊穴,膀胱炎,NULL
三水穴之水珊穴,蛋白尿,NULL
三水穴之水豔穴,腎臟炎,NULL
三水穴之水豔穴,腎虧腰痛,NULL
三水穴之水豔穴,膀胱炎,NULL
三水穴之水豔穴,蛋白尿,NULL
三水穴之水鵑穴,腎臟炎,NULL
三水穴之水鵑穴,腎虧腰痛,NULL
三水穴之水鵑穴,膀胱炎,NULL
三水穴之水鵑穴,蛋白尿,NULL
三江穴之主巢穴,子宮炎,NULL
三江穴之主巢穴,岔氣,NULL
三江穴之主巢穴,急性腸炎,NULL
三江穴之主巢穴,經閉,NULL
三江穴之主巢穴,腸炎,NULL
三江穴之主巢穴,閃腰,NULL
三江穴之六完穴（右邊）,子宮炎,NULL
三江穴之六完穴（右邊）,岔氣,NULL
三江穴之六完穴（右邊）,急性腸炎,NULL
三江穴之六完穴（右邊）,經閉,NULL
三江穴之六完穴（右邊）,腸炎,NULL
三江穴之六完穴（右邊）,閃腰,NULL
三江穴之六完穴（左邊）,子宮炎,NULL
三江穴之六完穴（左邊）,岔氣,NULL
三江穴之六完穴（左邊）,急性腸炎,NULL
三江穴之六完穴（左邊）,經閉,NULL
三江穴之六完穴（左邊）,腸炎,NULL
三江穴之六完穴（左邊）,閃腰,NULL
三江穴之六宗穴,子宮炎,NULL
三江穴之六宗穴,岔氣,NULL
三江穴之六宗穴,急性腸炎,NULL
三江穴之六宗穴,經閉,NULL
三江穴之六宗穴,腸炎,NULL
三江穴之六宗穴,閃腰,NULL
三江穴之六滿穴（右邊）,子宮炎,NULL
三江穴之六滿穴（右邊）,岔氣,NULL
三江穴之六滿穴（右邊）,急性腸炎,NULL
三江穴之六滿穴（右邊）,經閉,NULL
三江穴之六滿穴（右邊）,腸炎,NULL
三江穴之六滿穴（右邊）,閃腰,NULL
三江穴之六滿穴（左邊）,子宮炎,NULL
三江穴之六滿穴（左邊）,岔氣,NULL
三江穴之六滿穴（左邊）,急性腸炎,NULL
三江穴之六滿穴（左邊）,經閉,NULL
三江穴之六滿穴（左邊）,腸炎,NULL
三江穴之六滿穴（左邊）,閃腰,NULL
三江穴之六道穴（右邊）,子宮炎,NULL
三江穴之六道穴（右邊）,岔氣,NULL
三江穴之六道穴（右邊）,急性腸炎,NULL
三江穴之六道穴（右邊）,經閉,NULL
三江穴之六道穴（右邊）,腸炎,NULL
三江穴之六道穴（右邊）,閃腰,NULL
三江穴之六道穴（左邊）,子宮炎,NULL
三江穴之六道穴（左邊）,岔氣,NULL
三江穴之六道穴（左邊）,急性腸炎,NULL
三江穴之六道穴（左邊）,經閉,NULL
三江穴之六道穴（左邊）,腸炎,NULL
三江穴之六道穴（左邊）,閃腰,NULL
三江穴之水充穴,子宮炎,NULL
三江穴之水充穴,岔氣,NULL
三江穴之水充穴,急性腸炎,NULL
三江穴之水充穴,經閉,NULL
三江穴之水充穴,腸炎,NULL
三江穴之水充穴,閃腰,NULL
三江穴之水分穴,子宮炎,NULL
三江穴之水分穴,岔氣,NULL
三江穴之水分穴,急性腸炎,NULL
三江穴之水分穴,經閉,NULL
三江穴之水分穴,腸炎,NULL
三江穴之水分穴,閃腰,NULL
三江穴之水管穴,子宮炎,NULL
三江穴之水管穴,岔氣,NULL
三江穴之水管穴,急性腸炎,NULL
三江穴之水管穴,經閉,NULL
三江穴之水管穴,腸炎,NULL
三江穴之水管穴,閃腰,NULL
三江穴之河巢穴（右邊）,子宮炎,NULL
三江穴之河巢穴（右邊）,岔氣,NULL
三江穴之河巢穴（右邊）,急性腸炎,NULL
三江穴之河巢穴（右邊）,經閉,NULL
三江穴之河巢穴（右邊）,腸炎,NULL
三江穴之河巢穴（右邊）,閃腰,NULL
三江穴之河巢穴（左邊）,子宮炎,NULL
三江穴之河巢穴（左邊）,岔氣,NULL
三江穴之河巢穴（左邊）,急性腸炎,NULL
三江穴之河巢穴（左邊）,經閉,NULL
三江穴之河巢穴（左邊）,腸炎,NULL
三江穴之河巢穴（左邊）,閃腰,NULL
三江穴之環巢穴（右邊）,子宮炎,NULL
三江穴之環巢穴（右邊）,岔氣,NULL
三江穴之環巢穴（右邊）,急性腸炎,NULL
三江穴之環巢穴（右邊）,經閉,NULL
三江穴之環巢穴（右邊）,腸炎,NULL
三江穴之環巢穴（右邊）,閃腰,NULL
三江穴之環巢穴（左邊）,子宮炎,NULL
三江穴之環巢穴（左邊）,岔氣,NULL
三江穴之環巢穴（左邊）,急性腸炎,NULL
三江穴之環巢穴（左邊）,經閉,NULL
三江穴之環巢穴（左邊）,腸炎,NULL
三江穴之環巢穴（左邊）,閃腰,NULL
三江穴之華巢穴（右邊）,子宮炎,NULL
三江穴之華巢穴（右邊）,岔氣,NULL
三江穴之華巢穴（右邊）,急性腸炎,NULL
三江穴之華巢穴（右邊）,經閉,NULL
三江穴之華巢穴（右邊）,腸炎,NULL
三江穴之華巢穴（右邊）,閃腰,NULL
三江穴之華巢穴（左邊）,子宮炎,NULL
三江穴之華巢穴（左邊）,岔氣,NULL
三江穴之華巢穴（左邊）,急性腸炎,NULL
三江穴之華巢穴（左邊）,經閉,NULL
三江穴之華巢穴（左邊）,腸炎,NULL
三江穴之華巢穴（左邊）,閃腰,NULL
三江穴之鳳巢穴,子宮炎,NULL
三江穴之鳳巢穴,岔氣,NULL
三江穴之鳳巢穴,急性腸炎,NULL
三江穴之鳳巢穴,經閉,NULL
三江穴之鳳巢穴,腸炎,NULL
三江穴之鳳巢穴,閃腰,NULL
三河一穴,坐骨神經痛,NULL
三河一穴,治療腰痛,NULL
三河三穴,坐骨神經痛,NULL
三河三穴,治療腰痛,NULL
三河二穴,坐骨神經痛,NULL
三河二穴,治療腰痛,NULL
三海一穴,卵巢炎,NULL
三海一穴,卵巢瘤,NULL
三海一穴,坐骨神經痛,NULL
三海一穴,增高,NULL
三海一穴,子宮炎,NULL
三海一穴,子宮瘤,NULL
三海一穴,後腦疼痛,NULL
三海一穴,急慢性腎盂炎,NULL
三海一穴,早洩,NULL
三海一穴,脊椎炎,NULL
三海一穴,腎虧陽萎,NULL
三海一穴,腰痛,NULL
三海一穴,膀胱炎,NULL
三海一穴,膽汁分泌不足,NULL
三海三穴,卵巢炎,NULL
三海三穴,卵巢瘤,NULL
三海三穴,坐骨神經痛,NULL
三海三穴,增高,NULL
三海三穴,子宮炎,NULL
三海三穴,子宮瘤,NULL
三海三穴,後腦疼痛,NULL
三海三穴,急慢性腎盂炎,NULL
三海三穴,早洩,NULL
三海三穴,脊椎炎,NULL
三海三穴,腎虧陽萎,NULL
三海三穴,腰痛,NULL
三海三穴,膀胱炎,NULL
三海三穴,膽汁分泌不足,NULL
三海二穴,卵巢炎,NULL
三海二穴,卵巢瘤,NULL
三海二穴,坐骨神經痛,NULL
三海二穴,增高,NULL
三海二穴,子宮炎,NULL
三海二穴,子宮瘤,NULL
三海二穴,後腦疼痛,NULL
三海二穴,急慢性腎盂炎,NULL
三海二穴,早洩,NULL
三海二穴,脊椎炎,NULL
三海二穴,腎虧陽萎,NULL
三海二穴,腰痛,NULL
三海二穴,膀胱炎,NULL
三海二穴,膽汁分泌不足,NULL
三火一穴,偏頭痛,NULL
三火一穴,前額頭痛,NULL
三火一穴,心律不整,NULL
三火一穴,心臟性風濕病,NULL
三火一穴,心臟擴大,NULL
三火一穴,狹心症,NULL
三火一穴,耳鳴,NULL
三火一穴,背痛,NULL
三火一穴,胸痛,NULL
三火一穴,頭暈,NULL
三火三穴,偏頭痛,NULL
三火三穴,前額頭痛,NULL
三火三穴,心律不整,NULL
三火三穴,心臟性風濕病,NULL
三火三穴,心臟擴大,NULL
三火三穴,狹心症,NULL
三火三穴,耳鳴,NULL
三火三穴,背痛,NULL
三火三穴,胸痛,NULL
三火三穴,頭暈,NULL
三火二穴,偏頭痛,NULL
三火二穴,前額頭痛,NULL
三火二穴,心律不整,NULL
三火二穴,心臟性風濕病,NULL
三火二穴,心臟擴大,NULL
三火二穴,狹心症,NULL
三火二穴,耳鳴,NULL
三火二穴,背痛,NULL
三火二穴,胸痛,NULL
三火二穴,頭暈,NULL
三焦俞穴,乾嘔,7
三焦俞穴,全身性水腫,7
三焦俞穴,十二指腸炎,7
三焦俞穴,嘔吐,7
三焦俞穴,夜間遺尿,7
三焦俞穴,大便溏,7
三焦俞穴,大便稀薄,7
三焦俞穴,容易健忘,7
三焦俞穴,小便不利,7
三焦俞穴,尿血,7
三焦俞穴,打嗝,7
三焦俞穴,排尿困難,7
三焦俞穴,排尿疼痛,7
三焦俞穴,暈眩,7
三焦俞穴,月經期間腹瀉,7
三焦俞穴,梅尼爾氏病,7
三焦俞穴,水腫,7
三焦俞穴,泄瀉,7
三焦俞穴,消化不良,7
三焦俞穴,消渴,7
三焦俞穴,痢疾,7
三焦俞穴,發燒,7
三焦俞穴,目眩,7
三焦俞穴,睡眠障礙,7
三焦俞穴,神經衰弱症,7
三焦俞穴,糖尿病,7
三焦俞穴,肩背拘急,7
三焦俞穴,胃脘痛,7
三焦俞穴,胃腸脹氣,7
三焦俞穴,腎炎,7
三焦俞穴,腎結石,7
三焦俞穴,腰痛,7
三焦俞穴,腰背強痛,7
三焦俞穴,腰背痛,7
三焦俞穴,腸鳴,7
三焦俞穴,腹中有鳴叫聲,7
三焦俞穴,腹瀉,7
三焦俞穴,腹瀉伴隨不消化食物,7
三焦俞穴,腹脹,7
三焦俞穴,血尿,7
三焦俞穴,輸尿管結石,7
三焦俞穴,遺尿,7
三焦俞穴,遺精,7
三焦俞穴,頭痛,7
三焦俞穴,黃疸,7
三眼穴之一穴,下痢,NULL
三眼穴之一穴,保健及強壯的作用,NULL
三眼穴之一穴,功同足三里,NULL
三眼穴之一穴,消化不良,NULL
三眼穴之一穴,發燒,NULL
三眼穴之一穴,胃病嘔吐,NULL
三眼穴之一穴,胰臟炎,NULL
三眼穴之一穴,脾臟炎,NULL
三眼穴之三穴,下痢,NULL
三眼穴之三穴,保健及強壯的作用,NULL
三眼穴之三穴,功同足三里,NULL
三眼穴之三穴,消化不良,NULL
三眼穴之三穴,發燒,NULL
三眼穴之三穴,胃病嘔吐,NULL
三眼穴之三穴,胰臟炎,NULL
三眼穴之三穴,脾臟炎,NULL
三眼穴之二穴,下痢,NULL
三眼穴之二穴,保健及強壯的作用,NULL
三眼穴之二穴,功同足三里,NULL
三眼穴之二穴,消化不良,NULL
三眼穴之二穴,發燒,NULL
三眼穴之二穴,胃病嘔吐,NULL
三眼穴之二穴,胰臟炎,NULL
三眼穴之二穴,脾臟炎,NULL
三神一穴,口乾,NULL
三神一穴,喉炎,NULL
三神一穴,支氣管炎,NULL
三神一穴,早洩,NULL
三神一穴,老人咳嗽,NULL
三神一穴,腎盂炎,NULL
三神一穴,腎結石痛,NULL
三神一穴,腰痛,NULL
三神一穴,腰酸,NULL
三神一穴,蛋白尿,NULL
三神一穴,陽萎,NULL
三神三穴,口乾,NULL
三神三穴,喉炎,NULL
三神三穴,支氣管炎,NULL
三神三穴,早洩,NULL
三神三穴,老人咳嗽,NULL
三神三穴,腎盂炎,NULL
三神三穴,腎結石痛,NULL
三神三穴,腰痛,NULL
三神三穴,腰酸,NULL
三神三穴,蛋白尿,NULL
三神三穴,陽萎,NULL
三神二穴,口乾,NULL
三神二穴,喉炎,NULL
三神二穴,支氣管炎,NULL
三神二穴,早洩,NULL
三神二穴,老人咳嗽,NULL
三神二穴,腎盂炎,NULL
三神二穴,腎結石痛,NULL
三神二穴,腰痛,NULL
三神二穴,腰酸,NULL
三神二穴,蛋白尿,NULL
三神二穴,陽萎,NULL
三聖穴一穴,高血壓,NULL
三聖穴三穴,高血壓,NULL
三聖穴二穴,高血壓,NULL
三肩一穴,五十肩,NULL
三肩三穴,五十肩,NULL
三肩二穴,五十肩,NULL
三重穴,脾腫大,NULL
三金穴之金吉穴,膝蓋痛,NULL
三金穴之金斗穴,膝蓋痛,NULL
三金穴之金陵穴,膝蓋痛,NULL
三鉞穴之上鉞穴,卵巢炎,NULL
三鉞穴之上鉞穴,大腸炎,NULL
三鉞穴之上鉞穴,子宮炎,NULL
三鉞穴之上鉞穴,尿道炎,NULL
三鉞穴之上鉞穴,感冒,NULL
三鉞穴之上鉞穴,膀胱炎,NULL
三鉞穴之上鉞穴,輸卵管不通,NULL
三鉞穴之上鉞穴,頭昏,NULL
三鉞穴之上鉞穴,頭痛,NULL
三鉞穴之下鉞穴,卵巢炎,NULL
三鉞穴之下鉞穴,大腸炎,NULL
三鉞穴之下鉞穴,子宮炎,NULL
三鉞穴之下鉞穴,尿道炎,NULL
三鉞穴之下鉞穴,感冒,NULL
三鉞穴之下鉞穴,膀胱炎,NULL
三鉞穴之下鉞穴,輸卵管不通,NULL
三鉞穴之下鉞穴,頭昏,NULL
三鉞穴之下鉞穴,頭痛,NULL
三鉞穴之中鉞穴,卵巢炎,NULL
三鉞穴之中鉞穴,大腸炎,NULL
三鉞穴之中鉞穴,子宮炎,NULL
三鉞穴之中鉞穴,尿道炎,NULL
三鉞穴之中鉞穴,感冒,NULL
三鉞穴之中鉞穴,膀胱炎,NULL
三鉞穴之中鉞穴,輸卵管不通,NULL
三鉞穴之中鉞穴,頭昏,NULL
三鉞穴之中鉞穴,頭痛,NULL
三間穴,三叉神經痛,2
三間穴,口乾口渴,2
三間穴,咳嗽,2
三間穴,咽喉痛,2
三間穴,咽喉腫痛,2
三間穴,咽喉部乾燥,2
三間穴,喉氣管炎,2
三間穴,喉痹,2
三間穴,喘息,2
三間穴,嗜眠症,2
三間穴,嗜睡症,2
三間穴,嘴唇乾裂,2
三間穴,大便不通,2
三間穴,大便時間較長,2
三間穴,大便溏,2
三間穴,大便秘結,2
三間穴,大便稀薄,2
三間穴,失眠,2
三間穴,寒熱,2
三間穴,急性咽喉炎,2
三間穴,慢性喉炎,2
三間穴,慢性結膜炎,2
三間穴,扁桃腺炎,2
三間穴,手指麻木,2
三間穴,手痛,2
三間穴,手背痛,2
三間穴,月經期間眼睛痛,2
三間穴,月經期間腹瀉,2
三間穴,氣喘,2
三間穴,洞泄,2
三間穴,流鼻血,2
三間穴,牙周疾病,2
三間穴,牙痛,2
三間穴,牙齒痛,2
三間穴,牙齦出血,2
三間穴,牙齦腫脹,2
三間穴,甲狀腺亢進,2
三間穴,痢疾,2
三間穴,瘧疾,2
三間穴,發熱,2
三間穴,發燒,2
三間穴,眼痛,2
三間穴,眼睛疼痛,2
三間穴,眼睛紅痛,2
三間穴,睡眠時磨牙,2
三間穴,砂眼,2
三間穴,肩痛,2
三間穴,胃腸脹氣,2
三間穴,胸悶,2
三間穴,腸瀉,2
三間穴,腹中有鳴叫聲,2
三間穴,腹瀉,2
三間穴,腹脹,2
三間穴,貝爾氏癱瘓,2
三間穴,針眼,2
三間穴,頭痛,2
三間穴,食指痛,2
三陰交穴,下肢水腫,4
三陰交穴,下肢痿痹,4
三陰交穴,下肢靜脈瘤,4
三陰交穴,不孕,4
三陰交穴,不渴但是口乾,4
三陰交穴,低血壓,4
三陰交穴,卵巢炎,4
三陰交穴,口中唾液較多,4
三陰交穴,口渴喜喝熱水,4
三陰交穴,喉痹,4
三陰交穴,四肢感到疼痛,4
三陰交穴,在晚上或夜間會發熱,4
三陰交穴,夜間易醒,4
三陰交穴,夜間頻尿,4
三陰交穴,大便非常臭,4
三陰交穴,失眠,4
三陰交穴,女性不孕症,4
三陰交穴,女陰搔癢,4
三陰交穴,子宮內膜異位症,4
三陰交穴,子宮肌瘤,4
三陰交穴,容易憂鬱,4
三陰交穴,容易掉頭髮,4
三陰交穴,小便不利,4
三陰交穴,小便渾濁不清,4
三陰交穴,小便量多顏色像水,4
三陰交穴,小便顏色偏黃,4
三陰交穴,尿道炎,4
三陰交穴,崩漏,4
三陰交穴,帶下,4
三陰交穴,帶下有魚腥味,4
三陰交穴,帶狀疱疹,4
三陰交穴,性功能障礙,4
三陰交穴,慢性肝炎,4
三陰交穴,手腳冰冷,4
三陰交穴,手足逆冷,4
三陰交穴,排尿困難,4
三陰交穴,排尿後有殘尿感,4
三陰交穴,排尿疼痛,4
三陰交穴,更年期障礙,4
三陰交穴,月經不調,4
三陰交穴,月經夾有血塊,4
三陰交穴,月經期間暈眩,4
三陰交穴,月經期間過長,4
三陰交穴,月經稀少,4
三陰交穴,每天用腦頻率很高,4
三陰交穴,泄瀉,4
三陰交穴,流鼻血,4
三陰交穴,溢淚,4
三陰交穴,滯產,4
三陰交穴,濕疹,4
三陰交穴,牙齒浮動,4
三陰交穴,男性勃起障礙,4
三陰交穴,異位性皮膚炎,4
三陰交穴,疝氣,4
三陰交穴,疝痛,4
三陰交穴,痔疾,4
三陰交穴,痔瘡,4
三陰交穴,痛經,4
三陰交穴,癃閉,4
三陰交穴,癲疾,4
三陰交穴,白帶,4
三陰交穴,白濁,4
三陰交穴,眼睛模糊,4
三陰交穴,精神壓力大,4
三陰交穴,糖尿病,4
三陰交穴,系統性紅斑性狼瘡,4
三陰交穴,經前症候群,4
三陰交穴,經閉,4
三陰交穴,肩背交接痛,4
三陰交穴,腳氣,4
三陰交穴,腸鳴腹脹,4
三陰交穴,腹中有鳴叫聲,4
三陰交穴,腹脹腸鳴,4
三陰交穴,蕁麻疹,4
三陰交穴,足痿,4
三陰交穴,足跟痛,4
三陰交穴,身體消瘦,4
三陰交穴,過早射精,4
三陰交穴,遺尿,4
三陰交穴,遺精,4
三陰交穴,陰挺,4
三陰交穴,陰道炎,4
三陰交穴,陽萎,4
三陰交穴,難產,4
三陰交穴,食後疲倦想睡,4
三陰交穴,食慾不佳,4
三陰交穴,食慾不振,4
三陰交穴,高血壓,4
三陰交穴,黃帶,4
三陽絡穴,啞,10
三陽絡穴,嗜臥,10
三陽絡穴,大腿內側疼痛,10
三陽絡穴,失音,10
三陽絡穴,手臂痛,10
三陽絡穴,暴喑,10
三陽絡穴,牙周疾病,10
三陽絡穴,牙痛,10
三陽絡穴,牙齒痛,10
三陽絡穴,牙齦出血,10
三陽絡穴,牙齦腫脹,10
三陽絡穴,耳聾,10
三陽絡穴,肋間疼痛,10
三陽絡穴,腰痛,10
三陽絡穴,言語障礙,10
三陽絡穴,面色發白,10
三陽絡穴,頭痛,10
三陽絡穴,齲齒痛,10
三靈一穴(上臂區),心絞痛,NULL
三靈一穴(上臂區),胸痛透背膏盲,NULL
三靈一穴(大腿區),冠心症,NULL
三靈一穴(大腿區),抽筋,NULL
三靈一穴(大腿區),胸痛胸悶,NULL
三靈三穴(上臂區),心絞痛,NULL
三靈三穴(上臂區),胸痛透背膏盲,NULL
三靈三穴(大腿區),冠心症,NULL
三靈三穴(大腿區),抽筋,NULL
三靈三穴(大腿區),胸痛胸悶,NULL
三靈二穴(上臂區),心絞痛,NULL
三靈二穴(上臂區),胸痛透背膏盲,NULL
三靈二穴(大腿區),冠心症,NULL
三靈二穴(大腿區),抽筋,NULL
三靈二穴(大腿區),胸痛胸悶,NULL
三風一穴,偏頭痛,NULL
三風一穴,兩肩痛,NULL
三風一穴,頭風痛,NULL
三風三穴,偏頭痛,NULL
三風三穴,兩肩痛,NULL
三風三穴,頭風痛,NULL
三風二穴,偏頭痛,NULL
三風二穴,兩肩痛,NULL
三風二穴,頭風痛,NULL
三魁穴之上魁穴,三叉神經痛,NULL
三魁穴之上魁穴,偏頭痛,NULL
三魁穴之上魁穴,兩脇痛,NULL
三魁穴之上魁穴,心臟擴大,NULL
三魁穴之上魁穴,肋膜炎,NULL
三魁穴之上魁穴,肺炎,NULL
三魁穴之上魁穴,背痛,NULL
三魁穴之上魁穴,胸痛,NULL
三魁穴之上魁穴,腹膜炎,NULL
三魁穴之上魁穴,腿痛,NULL
三魁穴之下魁穴,三叉神經痛,NULL
三魁穴之下魁穴,偏頭痛,NULL
三魁穴之下魁穴,兩脇痛,NULL
三魁穴之下魁穴,心臟擴大,NULL
三魁穴之下魁穴,肋膜炎,NULL
三魁穴之下魁穴,肺炎,NULL
三魁穴之下魁穴,背痛,NULL
三魁穴之下魁穴,胸痛,NULL
三魁穴之下魁穴,腹膜炎,NULL
三魁穴之下魁穴,腿痛,NULL
三魁穴之中魁穴,三叉神經痛,NULL
三魁穴之中魁穴,偏頭痛,NULL
三魁穴之中魁穴,兩脇痛,NULL
三魁穴之中魁穴,心臟擴大,NULL
三魁穴之中魁穴,肋膜炎,NULL
三魁穴之中魁穴,肺炎,NULL
三魁穴之中魁穴,背痛,NULL
三魁穴之中魁穴,胸痛,NULL
三魁穴之中魁穴,腹膜炎,NULL
三魁穴之中魁穴,腿痛,NULL
三齒一穴,咽喉炎,NULL
三齒一穴,扁桃腺炎,NULL
三齒一穴,胃炎,NULL
三齒一穴,胃痛,NULL
三齒一穴,齒齦炎,NULL
三齒三穴,咽喉炎,NULL
三齒三穴,扁桃腺炎,NULL
三齒三穴,胃炎,NULL
三齒三穴,胃痛,NULL
三齒三穴,齒齦炎,NULL
三齒二穴,咽喉炎,NULL
三齒二穴,扁桃腺炎,NULL
三齒二穴,胃炎,NULL
三齒二穴,胃痛,NULL
三齒二穴,齒齦炎,NULL
上九里穴,半身不遂,NULL
